AMZN,47,742.63
CMCSA,243,66.83
DIS,162,99.88
HD,124,133.56
MCD,88,122.82
NKE,168,57.99
SBUX,146,56.48
CVS,107,97.63
KHC,122,89.02
KO,433,45.74
MO,196,69.08
PEP,144,109.91
PG,266,85.89
PM,155,103.24
WBA,108,81.77
WMT,312,73.62
CVX,188,106.65
SLB,139,78.88
XOM,415,94.88
BAC,1027,13.44
C,293,43.33
JPM,366,63.16
WFC,508,48.27
ABBV,162,64.77
AMGN,75,160.52
BMY,167,76.58
GILD,133,85.75
JNJ,275,123
MDT,139,88.75
MRK,277,59.55
PFE,606,36.31
GE,920,32.36
HON,76,119.05
MMM,61,179.21
UPS,88,110.79
UTX,84,105.09
BA,64,130.11
AAPL,548,96.87
CSCO,503,29.75
FB,286,116.78
GOOGL,68,729.48
IBM,96,158.02
INTC,472,35.01
MA,110,90.34
MSFT,786,53.51
ORCL,412,41.46
V,238,77.46
QCOM,147,54.83
T,616,42.59
VZ,408,56
