Date,Quantity,Ticker,Price
16-02-29,6,GOOGL, $717.22 
16-02-29,694,MSFT, $50.88 
16-02-29,120,XOM, $80.15 
16-02-29,7,AMZN, $552.52 
16-02-29,114,JNJ, $105.21 
16-02-29,862,GE, $29.14 
16-02-29,604,T, $36.95 
16-02-29,868,WFC, $46.92 
16-02-29,707,JPM, $56.30 
16-02-29,446,WMT, $66.34 
16-02-29,188,PG, $80.29 
16-02-29,395,VZ, $50.73 
16-02-29,643,PFE, $29.67 
16-02-29,206,CVX, $83.44 
16-02-29,454,ORCL, $36.78 
16-02-29,60,HD, $124.12 
16-02-29,339,INTC, $29.59 
16-02-29,395,MRK, $50.21 
16-02-29,21,DIS, $95.52 
16-02-29,65,PM, $91.03 
16-02-29,469,PEP, $97.82 
16-02-29,303,IBM, $131.03 
16-02-29,630,CSCO, $26.18 
16-02-29,1416,BAC, $12.52 
16-02-29,265,MO, $61.57 
16-02-29,89,UNH, $119.10 
16-02-29,53,BMY, $61.93 
16-02-29,327,MDT, $77.39 
16-02-29,445,SLB, $71.72 
16-02-29,22,MMM, $156.87 
16-02-29,373,MCD, $117.19 
16-02-29,276,CVS, $97.17 
16-02-29,415,UPS, $96.55 
16-02-29,28,AGN, $290.11 
16-02-29,344,HON, $101.35 
16-02-29,37,WBA, $78.94 
16-02-29,479,UTX, $96.62 
16-02-29,65,BA, $118.18 
16-02-29,603,QCOM, $50.79 
16-02-29,301,COST, $150.03 
16-02-29,54,LOW, $67.53 
16-02-29,497,USB, $38.52 
16-02-29,0,GS, $149.53 
16-02-29,14,SPG, $189.73 
16-02-29,19,PCLN," $1,265.21 "
16-02-29,43,AXP, $55.58 
16-02-29,527,OXY, $68.82 
16-02-29,83,BLK, $311.96 
16-02-29,709,MS, $24.70 
16-02-29,993,F, $12.51 
