GOOGL,Alphabet Inc Class A,499.2410557,Information Technology
MSFT,Microsoft Corp.,422.1070762,Information Technology
XOM,Exxon Mobil Corp.,394.4256832,Energy
AMZN,Amazon.com Inc,347.0011561,Consumer Discretionary
JNJ,Johnson & Johnson,338.3292474,Health Care
GE,General Electric,302.353212,Industrials
T,AT&T Inc,264.0308362,Telecommunications Services
WFC,Wells Fargo,242.2259388,Financials
JPM,JPMorgan Chase & Co.,234.6843709,Financials
WMT,Wal-Mart Stores,229.6033582,Consumer Staples
PG,Procter & Gamble,228.9458846,Consumer Staples
VZ,Verizon Communications,227.6199256,Telecommunications Services
PFE,Pfizer Inc.,223.0045138,Health Care
CVX,Chevron Corp.,201.7196942,Energy
ORCL,Oracle Corp.,172.206434,Information Technology
HD,Home Depot,167.6673033,Consumer Discretionary
INTC,Intel Corp.,165.6005386,Information Technology
MRK,Merck & Co.,165.0573545,Health Care
DIS,The Walt Disney Company,161.9195876,Consumer Discretionary
PM,Philip Morris International,160.7575178,Consumer Staples
PEP,PepsiCo Inc.,157.8180537,Consumer Staples
IBM,International Bus. Machines,153.3827035,Information Technology
CSCO,Cisco Systems,149.9860096,Information Technology
BAC,Bank of America Corp,140.3143663,Financials
MO,Altria Group Inc,135.7954557,Consumer Staples
UNH,United Health Group Inc.,134.3771493,Health Care
BMY,Bristol-Myers Squibb,126.8673527,Health Care
MDT,Medtronic plc,123.2385108,Health Care
SLB,Schlumberger Ltd.,110.3938842,Energy
MMM,3M Company,110.021732,Industrials
MCD,McDonald's Corp.,108.5119699,Consumer Discretionary
CVS,CVS Health,104.276801,Consumer Staples
UPS,United Parcel Service,98.0027508,Industrials
AGN,Allergan plc,95.9265036,Health Care
HON,Honeywell Int'l Inc.,90.8670292,Industrials
WBA,Walgreens Boots Alliance,89.3020182,Consumer Staples
UTX,United Technologies,88.2893297,Industrials
BA,Boeing Company,84.3339048,Industrials
QCOM,QUALCOMM Inc.,80.4231046,Information Technology
COST,Costco Co.,72.8984919,Consumer Staples
LOW,Lowe's Cos.,72.3681705,Consumer Discretionary
USB,U.S. Bancorp,72.3190243,Financials
GS,Goldman Sachs Group,70.1842492,Financials
SPG,Simon Property Group Inc,68.9813902,Financials
PCLN,Priceline.com Inc,66.0486685,Consumer Discretionary
AXP,American Express Co,60.65689,Financials
OXY,Occidental Petroleum,59.0524923,Energy
BLK,BlackRock,58.8636892,Financials
MS,Morgan Stanley,54.2560527,Financials
F,Ford Motor,53.9113719,Consumer Discretionary
